registro_operadora;operadora;ciclo;percentual;periodo_aplicacao;oficio;observacao;fonte
006246;Sul América Companhia de Seguro Saúde;2023;10.77;Julho/2023 a junho/2024;Ofício nº 67/2023/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Autorizado em 16/08/2023;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
000884;Itaúseg Saúde S.A.;2023;10.77;Julho/2023 a junho/2024;Ofício nº 69/2023/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Autorizado em 16/08/2023;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
326305;Amil Assistência Médica Internacional S.A.;2023;10.06;Junho/2023 a maio/2024;Ofício nº 70/2023/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Autorizado em 16/08/2023;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
005711;Bradesco Saúde S.A.;2024;8.02;Julho/2024 a junho/2025;Ofício nº 101/2024/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Autorizado em 05/07/2024;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
006246;Sul América Companhia de Seguro Saúde;2024;6.91;Julho/2024 a junho/2025;Ofício nº 104/2024/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Autorizado em 05/07/2024; teto distinto das demais seguradoras neste ciclo;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
000884;Itaúseg Saúde S.A.;2024;8.02;Julho/2024 a junho/2025;Ofício nº 102/2024/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Autorizado em 05/07/2024;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
326305;Amil Assistência Médica Internacional S.A.;2024;7.33;Junho/2024 a maio/2025;Ofício nº 103/2024/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Autorizado em 05/07/2024;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
005711;Bradesco Saúde S.A.;2025;7.16;Julho/2025 a junho/2026;Ofício nº 37/2025/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Autorizado em 14/07/2025;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
006246;Sul América Companhia de Seguro Saúde;2025;7.16;Julho/2025 a junho/2026;Ofício nº 38/2025/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Autorizado em 14/07/2025;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
000884;Itaúseg Saúde S.A.;2025;7.16;Julho/2025 a junho/2026;Ofício nº 40/2025/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Autorizado em 14/07/2025;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
326305;Amil Assistência Médica Internacional S.A.;2025;6.47;Junho/2025 a maio/2026;Ofício nº 39/2025/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Autorizado em 14/07/2025;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
005711;Bradesco Saúde S.A.;2026;6.20;Julho/2026 a junho/2027;639ª RDC (aprovado em 29/06/2026);Percentuais aprovados na 639ª RDC (29/06/2026); composição 5,11% + fator 1,04% (seguradoras); ofício autorizativo pendente na data da coleta;ANS — 639ª Reunião da Diretoria Colegiada (notícia de 29/06/2026)
006246;Sul América Companhia de Seguro Saúde;2026;6.20;Julho/2026 a junho/2027;639ª RDC (aprovado em 29/06/2026);Percentuais aprovados na 639ª RDC (29/06/2026); composição 5,11% + fator 1,04% (seguradoras); ofício autorizativo pendente na data da coleta;ANS — 639ª Reunião da Diretoria Colegiada (notícia de 29/06/2026)
000884;Itaúseg Saúde S.A.;2026;6.20;Julho/2026 a junho/2027;639ª RDC (aprovado em 29/06/2026);Percentuais aprovados na 639ª RDC (29/06/2026); composição 5,11% + fator 1,04% (seguradoras); ofício autorizativo pendente na data da coleta;ANS — 639ª Reunião da Diretoria Colegiada (notícia de 29/06/2026)
326305;Amil Assistência Médica Internacional S.A.;2026;5.52;Junho/2026 a maio/2027;639ª RDC (aprovado em 29/06/2026);Percentuais aprovados na 639ª RDC (29/06/2026); composição 5,11% + fator 0,39% (medicina de grupo); ofício autorizativo pendente na data da coleta;ANS — 639ª Reunião da Diretoria Colegiada (notícia de 29/06/2026)
